time (hours),protein (mg),cost ($)
0,0,223000
38,2000000,235780
76,4000000,248560
114,6000000,261340
152,8000000,274120
190,10000000,286900
228,12000000,299680
266,14000000,312460
304,16000000,325240
342,18000000,338020
380,20000000,350800
418,22000000,363580
456,24000000,376360
494,26000000,389140
532,28000000,401920
570,30000000,414700
608,32000000,427480
646,34000000,440260
684,36000000,453040
722,38000000,465820
760,40000000,478600
798,42000000,491380
836,44000000,504160
874,46000000,516940
912,48000000,529720
950,50000000,542500
988,52000000,555280
1026,54000000,568060
1064,56000000,580840
1102,58000000,593620
1140,60000000,606400
1178,62000000,619180
1216,64000000,631960
1254,66000000,644740
1292,68000000,657520
1330,70000000,670300
1368,72000000,683080
1406,74000000,695860
1444,76000000,708640
1482,78000000,721420
1520,80000000,734200
1558,82000000,746980
1596,84000000,759760
1634,86000000,772540
1672,88000000,785320
1710,90000000,798100
1748,92000000,810880
1786,94000000,823660
1824,96000000,836440
1862,98000000,849220
1900,100000000,862000
1938,102000000,874780
1976,104000000,887560
2014,106000000,900340
2052,108000000,913120
2090,110000000,925900
2128,112000000,938680
2166,114000000,951460
2204,116000000,964240
2242,118000000,977020
2280,120000000,989800
2318,122000000,1002580
2356,124000000,1015360
2394,126000000,1028140
2432,128000000,1040920
2470,130000000,1053700
2508,132000000,1066480
2546,134000000,1079260
2584,136000000,1092040
2622,138000000,1104820
2660,140000000,1117600
2698,142000000,1130380
2736,144000000,1143160
2774,146000000,1155940
2812,148000000,1168720
2850,150000000,1181500
2888,152000000,1194280
2926,154000000,1207060
2964,156000000,1219840
3002,158000000,1232620
3040,160000000,1245400
3078,162000000,1258180
3116,164000000,1270960
3154,166000000,1283740
3192,168000000,1296520
3230,170000000,1309300
3268,172000000,1322080
3306,174000000,1334860
3344,176000000,1347640
3382,178000000,1360420
3420,180000000,1373200
3458,182000000,1385980
3496,184000000,1398760
3534,186000000,1411540
3572,188000000,1424320
3610,190000000,1437100
3648,192000000,1449880
3686,194000000,1462660
3724,196000000,1475440
3762,198000000,1488220
3800,200000000,1501000
