time (hours),protein (mg),cost ($)
0,0,173750
40,2000000,373810
80,4000000,573870
120,6000000,773930
160,8000000,973990
200,10000000,1174050
240,12000000,1374110
280,14000000,1574170
320,16000000,1774230
360,18000000,1974290
400,20000000,2174350
440,22000000,2374410
480,24000000,2574470
520,26000000,2774530
560,28000000,2974590
600,30000000,3174650
640,32000000,3374710
680,34000000,3574770
720,36000000,3774830
760,38000000,3974890
800,40000000,4174950
840,42000000,4375010
880,44000000,4575070
920,46000000,4775130
960,48000000,4975190
1000,50000000,5175250
1040,52000000,5375310
1080,54000000,5575370
1120,56000000,5775430
1160,58000000,5975490
1200,60000000,6175550
1240,62000000,6375610
1280,64000000,6575670
1320,66000000,6775730
1360,68000000,6975790
1400,70000000,7175850
1440,72000000,7375910
1480,74000000,7575970
1520,76000000,7776030
1560,78000000,7976090
1600,80000000,8176150
1640,82000000,8376210
1680,84000000,8576270
1720,86000000,8776330
1760,88000000,8976390
1800,90000000,9176450
1840,92000000,9376510
1880,94000000,9576570
1920,96000000,9776630
1960,98000000,9976690
2000,100000000,10176750
2040,102000000,10376810
2080,104000000,10576870
2120,106000000,10776930
2160,108000000,10976990
2200,110000000,11177050
2240,112000000,11377110
2280,114000000,11577170
2320,116000000,11777230
2360,118000000,11977290
2400,120000000,12177350
2440,122000000,12377410
2480,124000000,12577470
2520,126000000,12777530
2560,128000000,12977590
2600,130000000,13177650
2640,132000000,13377710
2680,134000000,13577770
2720,136000000,13777830
2760,138000000,13977890
2800,140000000,14177950
2840,142000000,14378010
2880,144000000,14578070
2920,146000000,14778130
2960,148000000,14978190
3000,150000000,15178250
3040,152000000,15378310
3080,154000000,15578370
3120,156000000,15778430
3160,158000000,15978490
3200,160000000,16178550
3240,162000000,16378610
3280,164000000,16578670
3320,166000000,16778730
3360,168000000,16978790
3400,170000000,17178850
3440,172000000,17378910
3480,174000000,17578970
3520,176000000,17779030
3560,178000000,17979090
3600,180000000,18179150
3640,182000000,18379210
3680,184000000,18579270
3720,186000000,18779330
3760,188000000,18979390
3800,190000000,19179450
3840,192000000,19379510
3880,194000000,19579570
3920,196000000,19779630
3960,198000000,19979690
4000,200000000,20179750
