time (hours),protein (mg),cost ($)
0,0,60000
36,200000,61278
72,400000,62556
108,600000,63834
144,800000,65112
180,1000000,66390
216,1200000,67668
252,1400000,68946
288,1600000,70224
324,1800000,71502
360,2000000,72780
396,2200000,74058
432,2400000,75336
468,2600000,76614
504,2800000,77892
540,3000000,79170
576,3200000,80448
612,3400000,81726
648,3600000,83004
684,3800000,84282
720,4000000,85560
756,4200000,86838
792,4400000,88116
828,4600000,89394
864,4800000,90672
900,5000000,91950
936,5200000,93228
972,5400000,94506
1008,5600000,95784
1044,5800000,97062
1080,6000000,98340
1116,6200000,99618
1152,6400000,100896
1188,6600000,102174
1224,6800000,103452
1260,7000000,104730
1296,7200000,106008
1332,7400000,107286
1368,7600000,108564
1404,7800000,109842
1440,8000000,111120
1476,8200000,112398
1512,8400000,113676
1548,8600000,114954
1584,8800000,116232
1620,9000000,117510
1656,9200000,118788
1692,9400000,120066
1728,9600000,121344
1764,9800000,122622
1800,10000000,123900
1836,10200000,125178
1872,10400000,126456
1908,10600000,127734
1944,10800000,129012
1980,11000000,130290
2016,11200000,131568
2052,11400000,132846
2088,11600000,134124
2124,11800000,135402
2160,12000000,136680
2196,12200000,137958
2232,12400000,139236
2268,12600000,140514
2304,12800000,141792
2340,13000000,143070
2376,13200000,144348
2412,13400000,145626
2448,13600000,146904
2484,13800000,148182
2520,14000000,149460
2556,14200000,150738
2592,14400000,152016
2628,14600000,153294
2664,14800000,154572
2700,15000000,155850
2736,15200000,157128
2772,15400000,158406
2808,15600000,159684
2844,15800000,160962
2880,16000000,162240
2916,16200000,163518
2952,16400000,164796
2988,16600000,166074
3024,16800000,167352
3060,17000000,168630
3096,17200000,169908
3132,17400000,171186
3168,17600000,172464
3204,17800000,173742
3240,18000000,175020
3276,18200000,176298
3312,18400000,177576
3348,18600000,178854
3384,18800000,180132
3420,19000000,181410
3456,19200000,182688
3492,19400000,183966
3528,19600000,185244
3564,19800000,186522
3600,20000000,187800
