time (hours),protein (mg),cost ($)
0,0,87350
40,200000,107884
80,400000,128418
120,600000,148952
160,800000,169486
200,1000000,190020
240,1200000,210554
280,1400000,231088
320,1600000,251622
360,1800000,272156
400,2000000,292690
440,2200000,313224
480,2400000,333758
520,2600000,354292
560,2800000,374826
600,3000000,395360
640,3200000,415894
680,3400000,436428
720,3600000,456962
760,3800000,477496
800,4000000,498030
840,4200000,518564
880,4400000,539098
920,4600000,559632
960,4800000,580166
1000,5000000,600700
1040,5200000,621234
1080,5400000,641768
1120,5600000,662302
1160,5800000,682836
1200,6000000,703370
1240,6200000,723904
1280,6400000,744438
1320,6600000,764972
1360,6800000,785506
1400,7000000,806040
1440,7200000,826574
1480,7400000,847108
1520,7600000,867642
1560,7800000,888176
1600,8000000,908710
1640,8200000,929244
1680,8400000,949778
1720,8600000,970312
1760,8800000,990846
1800,9000000,1011380
1840,9200000,1031914
1880,9400000,1052448
1920,9600000,1072982
1960,9800000,1093516
2000,10000000,1114050
2040,10200000,1134584
2080,10400000,1155118
2120,10600000,1175652
2160,10800000,1196186
2200,11000000,1216720
2240,11200000,1237254
2280,11400000,1257788
2320,11600000,1278322
2360,11800000,1298856
2400,12000000,1319390
2440,12200000,1339924
2480,12400000,1360458
2520,12600000,1380992
2560,12800000,1401526
2600,13000000,1422060
2640,13200000,1442594
2680,13400000,1463128
2720,13600000,1483662
2760,13800000,1504196
2800,14000000,1524730
2840,14200000,1545264
2880,14400000,1565798
2920,14600000,1586332
2960,14800000,1606866
3000,15000000,1627400
3040,15200000,1647934
3080,15400000,1668468
3120,15600000,1689002
3160,15800000,1709536
3200,16000000,1730070
3240,16200000,1750604
3280,16400000,1771138
3320,16600000,1791672
3360,16800000,1812206
3400,17000000,1832740
3440,17200000,1853274
3480,17400000,1873808
3520,17600000,1894342
3560,17800000,1914876
3600,18000000,1935410
3640,18200000,1955944
3680,18400000,1976478
3720,18600000,1997012
3760,18800000,2017546
3800,19000000,2038080
3840,19200000,2058614
3880,19400000,2079148
3920,19600000,2099682
3960,19800000,2120216
4000,20000000,2140750
