section,section_time,name,value,unit
Starting Requirements,0,Target Protein,20.0,kg
Starting Requirements,0,Total Cycles,100.0,cycles
Starting Requirements,0,Target Protein Per Cycle,200.0,g
Volumes after Lysis/Centrifugation,2 hours,Total Cell Culture Volume,588235.294117647,mL
Induction + Incubation,36 hours,Total IPTG,5882.35294117647,mg
Growth Time,8 hours,Total LB,588.0,L
Growth Time,8 hours,Total KH2PO4,2000.5230000000001,g
Growth Time,8 hours,Total NaCl,343.62719999999996,g
Growth Time,8 hours,Total MgSO4,353.86134,g
Growth Time,8 hours,Total CaCl2,13.051248000000001,g
Growth Time,8 hours,Total NH4Cl,588.2352941176471,g
Growth Time,8 hours,Total Glucose,5882.35294117647,g
Growth Time,8 hours,Total Vitamin B,58.800000000000004,mL
Growth Time,8 hours,Total Iron,3283.98,mg
