time (hours),protein (mg),cost ($)
0,0.0,590838235.2941177
46,2000.0,591470109.5222958
92,4000.0,592101983.7504741
138,6000.0,592733857.9786522
184,8000.0,593365732.2068304
230,10000.0,593997606.4350085
276,12000.0,594629480.6631868
322,14000.0,595261354.8913649
368,16000.0,595893229.1195431
414,18000.0,596525103.3477212
460,20000.0,597156977.5758995
506,22000.0,597788851.8040776
552,24000.0,598420726.0322558
598,26000.0,599052600.2604339
644,28000.0,599684474.4886122
690,30000.0,600316348.7167903
736,32000.0,600948222.9449685
782,34000.0,601580097.1731467
828,36000.0,602211971.4013249
874,38000.0,602843845.629503
920,40000.0,603475719.8576812
966,42000.0,604107594.0858594
1012,44000.0,604739468.3140376
1058,46000.0,605371342.5422157
1104,48000.0,606003216.7703938
1150,50000.0,606635090.9985721
1196,52000.0,607266965.2267503
1242,54000.0,607898839.4549284
1288,56000.0,608530713.6831065
1334,58000.0,609162587.9112848
1380,60000.0,609794462.139463
1426,62000.0,610426336.3676411
1472,64000.0,611058210.5958192
1518,66000.0,611690084.8239975
1564,68000.0,612321959.0521756
1610,70000.0,612953833.2803538
1656,72000.0,613585707.508532
1702,74000.0,614217581.7367102
1748,76000.0,614849455.9648883
1794,78000.0,615481330.1930665
1840,80000.0,616113204.4212447
1886,82000.0,616745078.6494229
1932,84000.0,617376952.877601
1978,86000.0,618008827.1057792
2024,88000.0,618640701.3339574
2070,90000.0,619272575.5621356
2116,92000.0,619904449.7903137
2162,94000.0,620536324.0184919
2208,96000.0,621168198.2466701
2254,98000.0,621800072.4748483
2300,100000.0,622431946.7030264
2346,102000.0,623063820.9312046
2392,104000.0,623695695.1593828
2438,106000.0,624327569.387561
2484,108000.0,624959443.6157391
2530,110000.0,625591317.8439174
2576,112000.0,626223192.0720955
2622,114000.0,626855066.3002737
2668,116000.0,627486940.5284518
2714,118000.0,628118814.7566301
2760,120000.0,628750688.9848082
2806,122000.0,629382563.2129864
2852,124000.0,630014437.4411645
2898,126000.0,630646311.6693428
2944,128000.0,631278185.8975209
2990,130000.0,631910060.125699
3036,132000.0,632541934.3538772
3082,134000.0,633173808.5820554
3128,136000.0,633805682.8102336
3174,138000.0,634437557.0384117
3220,140000.0,635069431.2665899
3266,142000.0,635701305.4947681
3312,144000.0,636333179.7229463
3358,146000.0,636965053.9511244
3404,148000.0,637596928.1793027
3450,150000.0,638228802.4074808
3496,152000.0,638860676.635659
3542,154000.0,639492550.8638371
3588,156000.0,640124425.0920154
3634,158000.0,640756299.3201935
3680,160000.0,641388173.5483717
3726,162000.0,642020047.7765498
3772,164000.0,642651922.0047281
3818,166000.0,643283796.2329062
3864,168000.0,643915670.4610844
3910,170000.0,644547544.6892626
3956,172000.0,645179418.9174408
4002,174000.0,645811293.1456189
4048,176000.0,646443167.373797
4094,178000.0,647075041.6019753
4140,180000.0,647706915.8301535
4186,182000.0,648338790.0583316
4232,184000.0,648970664.2865098
4278,186000.0,649602538.514688
4324,188000.0,650234412.7428662
4370,190000.0,650866286.9710443
4416,192000.0,651498161.1992224
4462,194000.0,652130035.4274007
4508,196000.0,652761909.6555789
4554,198000.0,653393783.883757
4600,200000.0,654025658.1119351
