time (hours),protein (mg),cost ($)
0,0.0,59252470.58823528
46,200.0,59315657.58978406
92,400.0,59378844.591332845
138,600.0,59442031.592881635
184,800.0,59505218.59443042
230,1000.0,59568405.5959792
276,1200.0,59631592.59752798
322,1400.0,59694779.59907676
368,1600.0,59757966.600625545
414,1800.0,59821153.602174334
460,2000.0,59884340.603723116
506,2200.0,59947527.6052719
552,2400.0,60010714.60682068
598,2600.0,60073901.60836946
644,2800.0,60137088.609918244
690,3000.0,60200275.61146703
736,3200.0,60263462.613015816
782,3400.0,60326649.6145646
828,3600.0,60389836.61611338
874,3800.0,60453023.61766216
920,4000.0,60516210.61921094
966,4200.0,60579397.62075973
1012,4400.0,60642584.622308515
1058,4600.0,60705771.6238573
1104,4800.0,60768958.62540608
1150,5000.0,60832145.62695486
1196,5200.0,60895332.62850365
1242,5400.0,60958519.63005243
1288,5600.0,61021706.631601214
1334,5800.0,61084893.63315
1380,6000.0,61148080.63469878
1426,6200.0,61211267.63624756
1472,6400.0,61274454.63779635
1518,6600.0,61337641.63934513
1564,6800.0,61400828.640893914
1610,7000.0,61464015.642442696
1656,7200.0,61527202.64399148
1702,7400.0,61590389.64554027
1748,7600.0,61653576.64708905
1794,7800.0,61716763.64863783
1840,8000.0,61779950.65018661
1886,8200.0,61843137.651735395
1932,8400.0,61906324.65328418
1978,8600.0,61969511.65483297
2024,8800.0,62032698.65638175
2070,9000.0,62095885.65793053
2116,9200.0,62159072.65947931
2162,9400.0,62222259.661028095
2208,9600.0,62285446.66257688
2254,9800.0,62348633.664125666
2300,10000.0,62411820.66567445
2346,10200.0,62475007.66722323
2392,10400.0,62538194.66877201
2438,10600.0,62601381.670320794
2484,10800.0,62664568.671869576
2530,11000.0,62727755.673418365
2576,11200.0,62790942.67496715
2622,11400.0,62854129.67651593
2668,11600.0,62917316.67806471
2714,11800.0,62980503.67961349
2760,12000.0,63043690.68116228
2806,12200.0,63106877.682711065
2852,12400.0,63170064.68425985
2898,12600.0,63233251.68580863
2944,12800.0,63296438.68735741
2990,13000.0,63359625.68890619
3036,13200.0,63422812.69045498
3082,13400.0,63485999.692003764
3128,13600.0,63549186.693552546
3174,13800.0,63612373.69510133
3220,14000.0,63675560.69665011
3266,14200.0,63738747.6981989
3312,14400.0,63801934.69974768
3358,14600.0,63865121.70129646
3404,14800.0,63928308.702845246
3450,15000.0,63991495.70439403
3496,15200.0,64054682.70594281
3542,15400.0,64117869.70749159
3588,15600.0,64181056.70904038
3634,15800.0,64244243.71058916
3680,16000.0,64307430.712137945
3726,16200.0,64370617.71368673
3772,16400.0,64433804.71523551
3818,16600.0,64496991.7167843
3864,16800.0,64560178.71833308
3910,17000.0,64623365.71988186
3956,17200.0,64686552.721430644
4002,17400.0,64749739.72297943
4048,17600.0,64812926.72452821
4094,17800.0,64876113.726077
4140,18000.0,64939300.72762578
4186,18200.0,65002487.72917456
4232,18400.0,65065674.730723344
4278,18600.0,65128861.732272126
4324,18800.0,65192048.733820915
4370,19000.0,65255235.7353697
4416,19200.0,65318422.73691848
4462,19400.0,65381609.73846726
4508,19600.0,65444796.74001604
4554,19800.0,65507983.741564825
4600,20000.0,65571170.743113615
