time (hours),protein (mg),cost ($)
0,0.0,35000.0
70,1.0,45316.061388454174
140,2.0,55632.12277690835
210,3.0,65948.18416536253
280,4.0,76264.2455538167
350,5.0,86580.30694227088
420,6.0,96896.36833072506
490,7.0,107212.42971917923
560,8.0,117528.49110763341
630,9.0,127844.55249608759
700,10.0,138160.61388454176
770,11.0,148476.67527299596
840,12.0,158792.73666145012
910,13.0,169108.7980499043
980,14.0,179424.85943835846
1050,15.0,189740.92082681265
1120,16.0,200056.98221526682
1190,17.0,210373.043603721
1260,18.0,220689.10499217518
1330,19.0,231005.16638062935
1400,20.0,241321.22776908352
1470,21.0,251637.2891575377
1540,22.0,261953.35054599188
1610,23.0,272269.4119344461
1680,24.0,282585.47332290024
1750,25.0,292901.5347113544
1820,26.0,303217.5960998086
1890,27.0,313533.65748826275
1960,28.0,323849.7188767169
2030,29.0,334165.78026517114
2100,30.0,344481.8416536253
2170,31.0,354797.9030420795
2240,32.0,365113.96443053364
2310,33.0,375430.0258189878
2380,34.0,385746.087207442
2450,35.0,396062.14859589614
2520,36.0,406378.20998435037
2590,37.0,416694.27137280453
2660,38.0,427010.3327612587
2730,39.0,437326.39414971287
2800,40.0,447642.45553816704
2870,41.0,457958.5169266212
2940,42.0,468274.5783150754
3010,43.0,478590.6397035296
3080,44.0,488906.70109198376
3150,45.0,499222.76248043793
3220,46.0,509538.8238688921
3290,47.0,519854.88525734626
3360,48.0,530170.9466458005
3430,49.0,540487.0080342547
3500,50.0,550803.0694227088
