time (hours),protein (mg),cost ($)
0,0.0,45000.0
46,1.0,45316.061388454174
92,2.0,45632.122776908356
138,3.0,45948.18416536253
184,4.0,46264.245553816705
230,5.0,46580.30694227088
276,6.0,46896.36833072506
322,7.0,47212.429719179236
368,8.0,47528.49110763341
414,9.0,47844.552496087585
460,10.0,48160.613884541766
506,11.0,48476.67527299594
552,12.0,48792.736661450115
598,13.0,49108.79804990429
644,14.0,49424.85943835847
690,15.0,49740.920826812646
736,16.0,50056.98221526682
782,17.0,50373.043603721
828,18.0,50689.10499217518
874,19.0,51005.16638062935
920,20.0,51321.22776908353
966,21.0,51637.28915753771
1012,22.0,51953.35054599188
1058,23.0,52269.411934446056
1104,24.0,52585.47332290023
1150,25.0,52901.53471135441
1196,26.0,53217.59609980859
1242,27.0,53533.65748826276
1288,28.0,53849.71887671694
1334,29.0,54165.78026517112
1380,30.0,54481.84165362529
1426,31.0,54797.90304207947
1472,32.0,55113.96443053365
1518,33.0,55430.02581898782
1564,34.0,55746.087207442
1610,35.0,56062.14859589617
1656,36.0,56378.20998435035
1702,37.0,56694.27137280453
1748,38.0,57010.3327612587
1794,39.0,57326.39414971288
1840,40.0,57642.45553816706
1886,41.0,57958.51692662123
1932,42.0,58274.578315075414
1978,43.0,58590.63970352959
2024,44.0,58906.70109198376
2070,45.0,59222.76248043794
2116,46.0,59538.82386889211
2162,47.0,59854.885257346294
2208,48.0,60170.94664580047
2254,49.0,60487.00803425464
2300,50.0,60803.069422708824
