time (hours),protein (mg),cost ($)
0,0.0,1891083.3333333333
40,2000.0,290535253.4271605
80,4000.0,579179423.5209877
120,6000.0,867823593.6148149
160,8000.0,1156467763.708642
200,10000.0,1445111933.8024693
240,12000.0,1733756103.8962963
280,14000.0,2022400273.9901235
320,16000.0,2311044444.083951
360,18000.0,2599688614.1777782
400,20000.0,2888332784.2716055
440,22000.0,3176976954.3654327
480,24000.0,3465621124.4592595
520,26000.0,3754265294.5530868
560,28000.0,4042909464.646914
600,30000.0,4331553634.740741
640,32000.0,4620197804.834568
680,34000.0,4908841974.928395
720,36000.0,5197486145.0222225
760,38000.0,5486130315.11605
800,40000.0,5774774485.209877
840,42000.0,6063418655.303704
880,44000.0,6352062825.3975315
920,46000.0,6640706995.491359
960,48000.0,6929351165.585185
1000,50000.0,7217995335.679012
1040,52000.0,7506639505.77284
1080,54000.0,7795283675.866667
1120,56000.0,8083927845.960494
1160,58000.0,8372572016.054321
1200,60000.0,8661216186.14815
1240,62000.0,8949860356.241978
1280,64000.0,9238504526.335804
1320,66000.0,9527148696.42963
1360,68000.0,9815792866.523458
1400,70000.0,10104437036.617285
1440,72000.0,10393081206.711113
1480,74000.0,10681725376.80494
1520,76000.0,10970369546.898767
1560,78000.0,11259013716.992594
1600,80000.0,11547657887.086422
1640,82000.0,11836302057.180248
1680,84000.0,12124946227.274076
1720,86000.0,12413590397.367903
1760,88000.0,12702234567.461731
1800,90000.0,12990878737.555557
1840,92000.0,13279522907.649385
1880,94000.0,13568167077.743212
1920,96000.0,13856811247.837038
1960,98000.0,14145455417.930866
2000,100000.0,14434099588.024693
2040,102000.0,14722743758.11852
2080,104000.0,15011387928.212347
2120,106000.0,15300032098.306175
2160,108000.0,15588676268.400002
2200,110000.0,15877320438.49383
2240,112000.0,16165964608.587656
2280,114000.0,16454608778.681484
2320,116000.0,16743252948.77531
2360,118000.0,17031897118.869139
2400,120000.0,17320541288.962963
2440,122000.0,17609185459.05679
2480,124000.0,17897829629.15062
2520,126000.0,18186473799.244446
2560,128000.0,18475117969.338272
2600,130000.0,18763762139.4321
2640,132000.0,19052406309.525925
2680,134000.0,19341050479.619755
2720,136000.0,19629694649.71358
2760,138000.0,19918338819.807407
2800,140000.0,20206982989.901234
2840,142000.0,20495627159.995064
2880,144000.0,20784271330.08889
2920,146000.0,21072915500.182716
2960,148000.0,21361559670.276543
3000,150000.0,21650203840.370373
3040,152000.0,21938848010.4642
3080,154000.0,22227492180.558025
3120,156000.0,22516136350.65185
3160,158000.0,22804780520.74568
3200,160000.0,23093424690.839508
3240,162000.0,23382068860.933334
3280,164000.0,23670713031.02716
3320,166000.0,23959357201.120987
3360,168000.0,24248001371.214817
3400,170000.0,24536645541.308643
3440,172000.0,24825289711.40247
3480,174000.0,25113933881.496296
3520,176000.0,25402578051.590126
3560,178000.0,25691222221.683952
3600,180000.0,25979866391.77778
3640,182000.0,26268510561.871605
3680,184000.0,26557154731.965435
3720,186000.0,26845798902.05926
3760,188000.0,27134443072.153088
3800,190000.0,27423087242.246914
3840,192000.0,27711731412.34074
3880,194000.0,28000375582.43457
3920,196000.0,28289019752.528397
3960,198000.0,28577663922.622223
4000,200000.0,28866308092.71605
