time (hours),protein (mg),cost ($)
0,0.0,1891083.3333333333
40,2000.0,299179423.52098763
80,4000.0,596467763.708642
120,6000.0,893756103.8962964
160,8000.0,1191044444.0839505
200,10000.0,1488332784.2716048
240,12000.0,1785621124.4592593
280,14000.0,2082909464.6469135
320,16000.0,2380197804.834568
360,18000.0,2677486145.0222225
400,20000.0,2974774485.2098765
440,22000.0,3272062825.397531
480,24000.0,3569351165.5851855
520,26000.0,3866639505.7728395
560,28000.0,4163927845.960494
600,30000.0,4461216186.148148
640,32000.0,4758504526.335802
680,34000.0,5055792866.523457
720,36000.0,5353081206.711111
760,38000.0,5650369546.898765
800,40000.0,5947657887.086419
840,42000.0,6244946227.274074
880,44000.0,6542234567.461728
920,46000.0,6839522907.649383
960,48000.0,7136811247.837037
1000,50000.0,7434099588.024691
1040,52000.0,7731387928.212345
1080,54000.0,8028676268.4
1120,56000.0,8325964608.587654
1160,58000.0,8623252948.775309
1200,60000.0,8920541288.962963
1240,62000.0,9217829629.150618
1280,64000.0,9515117969.338272
1320,66000.0,9812406309.525927
1360,68000.0,10109694649.713581
1400,70000.0,10406982989.901236
1440,72000.0,10704271330.08889
1480,74000.0,11001559670.276545
1520,76000.0,11298848010.464197
1560,78000.0,11596136350.651852
1600,80000.0,11893424690.839506
1640,82000.0,12190713031.02716
1680,84000.0,12488001371.214815
1720,86000.0,12785289711.40247
1760,88000.0,13082578051.590124
1800,90000.0,13379866391.777779
1840,92000.0,13677154731.965433
1880,94000.0,13974443072.153088
1920,96000.0,14271731412.340742
1960,98000.0,14569019752.528395
2000,100000.0,14866308092.71605
2040,102000.0,15163596432.903704
2080,104000.0,15460884773.091358
2120,106000.0,15758173113.279013
2160,108000.0,16055461453.466667
2200,110000.0,16352749793.654322
2240,112000.0,16650038133.841976
2280,114000.0,16947326474.02963
2320,116000.0,17244614814.21728
2360,118000.0,17541903154.404938
2400,120000.0,17839191494.59259
2440,122000.0,18136479834.780247
2480,124000.0,18433768174.9679
2520,126000.0,18731056515.155556
2560,128000.0,19028344855.34321
2600,130000.0,19325633195.53086
2640,132000.0,19622921535.718517
2680,134000.0,19920209875.90617
2720,136000.0,20217498216.093826
2760,138000.0,20514786556.28148
2800,140000.0,20812074896.469135
2840,142000.0,21109363236.656788
2880,144000.0,21406651576.844444
2920,146000.0,21703939917.032097
2960,148000.0,22001228257.219753
3000,150000.0,22298516597.407406
3040,152000.0,22595804937.59506
3080,154000.0,22893093277.782715
3120,156000.0,23190381617.970367
3160,158000.0,23487669958.158024
3200,160000.0,23784958298.345676
3240,162000.0,24082246638.533333
3280,164000.0,24379534978.720985
3320,166000.0,24676823318.90864
3360,168000.0,24974111659.096294
3400,170000.0,25271399999.28395
3440,172000.0,25568688339.471603
3480,174000.0,25865976679.659256
3520,176000.0,26163265019.846912
3560,178000.0,26460553360.034565
3600,180000.0,26757841700.22222
3640,182000.0,27055130040.409874
3680,184000.0,27352418380.59753
3720,186000.0,27649706720.785183
3760,188000.0,27946995060.97284
3800,190000.0,28244283401.160492
3840,192000.0,28541571741.34815
3880,194000.0,28838860081.5358
3920,196000.0,29136148421.723454
3960,198000.0,29433436761.91111
4000,200000.0,29730725102.098763
