time (hours),protein (mg),cost ($)
0,0.0,259083.3333333333
40,200.0,38456833.676049374
80,400.0,76654584.0187654
120,600.0,114852334.36148144
160,800.0,153050084.7041975
200,1000.0,191247835.04691353
240,1200.0,229445585.38962957
280,1400.0,267643335.7323456
320,1600.0,305841086.0750616
360,1800.0,344038836.41777766
400,2000.0,382236586.7604937
440,2200.0,420434337.10320973
480,2400.0,458632087.4459258
520,2600.0,496829837.7886418
560,2800.0,535027588.13135785
600,3000.0,573225338.474074
640,3200.0,611423088.81679
680,3400.0,649620839.159506
720,3600.0,687818589.5022221
760,3800.0,726016339.8449382
800,4000.0,764214090.1876541
840,4200.0,802411840.5303701
880,4400.0,840609590.8730862
920,4600.0,878807341.2158023
960,4800.0,917005091.5585183
1000,5000.0,955202841.9012343
1040,5200.0,993400592.2439504
1080,5400.0,1031598342.5866665
1120,5600.0,1069796092.9293824
1160,5800.0,1107993843.2720983
1200,6000.0,1146191593.6148145
1240,6200.0,1184389343.9575305
1280,6400.0,1222587094.3002465
1320,6600.0,1260784844.6429625
1360,6800.0,1298982594.9856784
1400,7000.0,1337180345.3283947
1440,7200.0,1375378095.6711106
1480,7400.0,1413575846.0138266
1520,7600.0,1451773596.3565428
1560,7800.0,1489971346.6992588
1600,8000.0,1528169097.0419748
1640,8200.0,1566366847.3846908
1680,8400.0,1604564597.7274067
1720,8600.0,1642762348.070123
1760,8800.0,1680960098.412839
1800,9000.0,1719157848.755555
1840,9200.0,1757355599.0982711
1880,9400.0,1795553349.440987
1920,9600.0,1833751099.783703
1960,9800.0,1871948850.126419
2000,10000.0,1910146600.469135
2040,10200.0,1948344350.8118513
2080,10400.0,1986542101.1545672
2120,10600.0,2024739851.4972832
2160,10800.0,2062937601.8399994
2200,11000.0,2101135352.1827154
2240,11200.0,2139333102.5254314
2280,11400.0,2177530852.868148
2320,11600.0,2215728603.2108636
2360,11800.0,2253926353.55358
2400,12000.0,2292124103.896296
2440,12200.0,2330321854.239012
2480,12400.0,2368519604.581728
2520,12600.0,2406717354.9244437
2560,12800.0,2444915105.26716
2600,13000.0,2483112855.609876
2640,13200.0,2521310605.952592
2680,13400.0,2559508356.295308
2720,13600.0,2597706106.638024
2760,13800.0,2635903856.98074
2800,14000.0,2674101607.3234563
2840,14200.0,2712299357.666172
2880,14400.0,2750497108.0088882
2920,14600.0,2788694858.3516045
2960,14800.0,2826892608.69432
3000,15000.0,2865090359.0370364
3040,15200.0,2903288109.3797526
3080,15400.0,2941485859.7224684
3120,15600.0,2979683610.0651846
3160,15800.0,3017881360.4079003
3200,16000.0,3056079110.7506166
3240,16200.0,3094276861.093333
3280,16400.0,3132474611.4360485
3320,16600.0,3170672361.7787647
3360,16800.0,3208870112.1214805
3400,17000.0,3247067862.4641967
3440,17200.0,3285265612.806913
3480,17400.0,3323463363.1496286
3520,17600.0,3361661113.492345
3560,17800.0,3399858863.835061
3600,18000.0,3438056614.177777
3640,18200.0,3476254364.520493
3680,18400.0,3514452114.8632092
3720,18600.0,3552649865.205925
3760,18800.0,3590847615.548641
3800,19000.0,3629045365.891357
3840,19200.0,3667243116.234073
3880,19400.0,3705440866.5767894
3920,19600.0,3743638616.919505
3960,19800.0,3781836367.2622213
4000,20000.0,3820034117.604937
