time (hours),protein (mg),cost ($)
0,0.0,259083.3333333333
40,200.0,39321250.6854321
80,400.0,78383418.03753085
120,600.0,117445585.38962962
160,800.0,156507752.7417284
200,1000.0,195569920.09382716
240,1200.0,234632087.44592592
280,1400.0,273694254.79802465
320,1600.0,312756422.1501234
360,1800.0,351818589.5022222
400,2000.0,390880756.85432094
440,2200.0,429942924.2064197
480,2400.0,469005091.55851847
520,2600.0,508067258.91061723
560,2800.0,547129426.262716
600,3000.0,586191593.6148149
640,3200.0,625253760.9669136
680,3400.0,664315928.3190123
720,3600.0,703378095.6711111
760,3800.0,742440263.0232099
800,4000.0,781502430.3753086
840,4200.0,820564597.7274073
880,4400.0,859626765.0795062
920,4600.0,898688932.431605
960,4800.0,937751099.7837037
1000,5000.0,976813267.1358024
1040,5200.0,1015875434.4879012
1080,5400.0,1054937601.84
1120,5600.0,1093999769.1920986
1160,5800.0,1133061936.5441973
1200,6000.0,1172124103.8962963
1240,6200.0,1211186271.248395
1280,6400.0,1250248438.6004937
1320,6600.0,1289310605.9525924
1360,6800.0,1328372773.304691
1400,7000.0,1367434940.65679
1440,7200.0,1406497108.0088887
1480,7400.0,1445559275.3609874
1520,7600.0,1484621442.7130864
1560,7800.0,1523683610.065185
1600,8000.0,1562745777.4172838
1640,8200.0,1601807944.7693825
1680,8400.0,1640870112.1214812
1720,8600.0,1679932279.4735801
1760,8800.0,1718994446.8256788
1800,9000.0,1758056614.1777775
1840,9200.0,1797118781.5298765
1880,9400.0,1836180948.8819752
1920,9600.0,1875243116.2340739
1960,9800.0,1914305283.5861726
2000,10000.0,1953367450.9382713
2040,10200.0,1992429618.2903702
2080,10400.0,2031491785.642469
2120,10600.0,2070553952.9945676
2160,10800.0,2109616120.3466666
2200,11000.0,2148678287.6987653
2240,11200.0,2187740455.050864
2280,11400.0,2226802622.402963
2320,11600.0,2265864789.7550616
2360,11800.0,2304926957.1071606
2400,12000.0,2343989124.4592595
2440,12200.0,2383051291.811358
2480,12400.0,2422113459.163457
2520,12600.0,2461175626.5155554
2560,12800.0,2500237793.8676543
2600,13000.0,2539299961.2197533
2640,13200.0,2578362128.5718517
2680,13400.0,2617424295.9239507
2720,13600.0,2656486463.276049
2760,13800.0,2695548630.628148
2800,14000.0,2734610797.980247
2840,14200.0,2773672965.3323455
2880,14400.0,2812735132.6844444
2920,14600.0,2851797300.0365434
2960,14800.0,2890859467.388642
3000,15000.0,2929921634.740741
3040,15200.0,2968983802.0928397
3080,15400.0,3008045969.444938
3120,15600.0,3047108136.797037
3160,15800.0,3086170304.1491356
3200,16000.0,3125232471.5012345
3240,16200.0,3164294638.8533335
3280,16400.0,3203356806.205432
3320,16600.0,3242418973.557531
3360,16800.0,3281481140.9096293
3400,17000.0,3320543308.2617283
3440,17200.0,3359605475.613827
3480,17400.0,3398667642.9659257
3520,17600.0,3437729810.3180246
3560,17800.0,3476791977.6701236
3600,18000.0,3515854145.022222
3640,18200.0,3554916312.374321
3680,18400.0,3593978479.72642
3720,18600.0,3633040647.0785184
3760,18800.0,3672102814.4306173
3800,19000.0,3711164981.782716
3840,19200.0,3750227149.1348147
3880,19400.0,3789289316.4869137
3920,19600.0,3828351483.839012
3960,19800.0,3867413651.191111
4000,20000.0,3906475818.5432096
