time (hours),protein (mg),cost ($)
0,0.0,78656.66666666667
40,1.0,269645.4183802469
80,2.0,460634.1700938272
120,3.0,651622.9218074074
160,4.0,842611.6735209876
200,5.0,1033600.4252345678
240,6.0,1224589.1769481483
280,7.0,1415577.9286617285
320,8.0,1606566.6803753087
360,9.0,1797555.432088889
400,10.0,1988544.1838024692
440,11.0,2179532.935516049
480,12.0,2370521.6872296296
520,13.0,2561510.4389432096
560,14.0,2752499.19065679
600,15.0,2943487.94237037
640,16.0,3134476.6940839505
680,17.0,3325465.445797531
720,18.0,3516454.197511111
760,19.0,3707442.9492246914
800,20.0,3898431.7009382714
840,21.0,4089420.452651852
880,22.0,4280409.204365432
920,23.0,4471397.956079013
960,24.0,4662386.707792593
1000,25.0,4853375.459506174
1040,26.0,5044364.211219753
1080,27.0,5235352.962933334
1120,28.0,5426341.714646914
1160,29.0,5617330.4663604945
1200,30.0,5808319.218074074
1240,31.0,5999307.9697876545
1280,32.0,6190296.721501235
1320,33.0,6381285.473214815
1360,34.0,6572274.224928396
1400,35.0,6763262.976641975
1440,36.0,6954251.728355556
1480,37.0,7145240.480069136
1520,38.0,7336229.231782717
1560,39.0,7527217.983496296
1600,40.0,7718206.735209877
1640,41.0,7909195.486923457
1680,42.0,8100184.238637038
1720,43.0,8291172.990350618
1760,44.0,8482161.742064197
1800,45.0,8673150.493777778
1840,46.0,8864139.245491358
1880,47.0,9055127.997204937
1920,48.0,9246116.748918518
1960,49.0,9437105.500632098
2000,50.0,9628094.25234568
