name,num_cycles,initial_cost,cycle_cost_$,cycle_time_hours,protein_per_cycle_mg
CFPP Lab,100.0,259083.33333333334,39062167.35209876,40,200.0
CFPP Industry,100.0,1891083.3333333333,297288340.1876543,40,2000.0
CFPP Prototype,10.0,77840.66666666667,19531.08367604938,40,0.1
CFPP Prototype (Switching Proteins),10.0,77840.66666666667,19531.08367604938,40,0.1
CFPP Lab (recycle mpads),100.0,259083.33333333334,38197750.34271604,40,200.0
CFPP Industry (recycle mpads),100.0,1891083.3333333333,288644170.0938272,40,2000.0
CFPP Prototype (recycle mpads),10.0,77840.66666666667,19098.87517135802,40,0.1
CFPP Lab,100.0,59232470.58823528,63187.0015487833,46,200.0
CFPP Industry,100.0,590838235.2941177,631874.228178175,46,2000.0
CFPP Prototype,10.0,9941.176470588236,30.974235294117644,46,0.1
CFPP Prototype (Switching Proteins),10.0,7941.176470588236,2030.9742352941178,70,0.1
